chosen_server,lat_8001,lat_8002,load_8001,load_8002
http://localhost:8002,0.008935636000387603,0.007076330999552738,0,0
http://localhost:8001,0.004432180001458619,0.004344011998909991,0,1
http://localhost:8002,0.004080973001691746,0.004721419998531928,1,0
http://localhost:8001,0.004136162999202497,0.0038873560006322805,0,1
http://localhost:8001,0.004179217001365032,0.005374201999075012,0,0
