strategy,chosen_server,lat_8001,lat_8002,load_8001,load_8002
latency,http://localhost:8002,0.007842208000511164,0.002138667001418071,1,3
latency,http://localhost:8002,0.009907874999043997,0.00268158300241339,2,4
latency,http://localhost:8002,0.006479707997641526,0.002837583000655286,0,4
latency,http://localhost:8002,0.005893916997592896,0.0020090830003027804,1,4
latency,http://localhost:8002,0.007550000002083834,0.0030948749990784563,0,2
latency,http://localhost:8002,0.0054059169997344725,0.0023190419997263234,1,2
latency,http://localhost:8002,0.008720041001652135,0.004327208000177052,1,1
latency,http://localhost:8001,0.000688665997586213,0.0017475000022386666,0,1
latency,http://localhost:8001,0.003734333997272188,0.004208457998174708,1,0
latency,http://localhost:8001,0.0025059580002562143,0.002729332998569589,0,1
