port,content_dir,strategy,total_req,manifest_req,segment_req,other_req
8002,content/server2,latency,162,8,0,154
8002,content/server2,latency,162,8,0,154
8002,content/server2,latency,84,7,0,77
8002,content/server2,latency,474,12,0,462
8002,content/server2,latency,162,8,0,154
8002,content/server2,latency,240,9,0,231
8002,content/server2,latency,318,10,0,308
8002,content/server2,latency,318,10,0,308
8002,content/server2,latency,84,7,0,77
8002,content/server2,latency,318,10,0,308
8002,content/server2,latency,474,12,0,462
8002,content/server2,latency,396,11,0,385
8002,content/server2,latency,396,11,0,385
8002,content/server2,latency,396,11,0,385
8002,content/server2,latency,474,12,0,462
