port,content_dir,strategy,total_req,manifest_req,segment_req,other_req
8002,content/server2,latency,163,9,0,154
8002,content/server2,latency,397,12,0,385
8002,content/server2,latency,553,14,0,539
8002,content/server2,latency,319,11,0,308
8002,content/server2,latency,241,10,0,231
8002,content/server2,latency,397,12,0,385
8002,content/server2,latency,475,13,0,462
8002,content/server2,latency,163,9,0,154
8002,content/server2,latency,241,10,0,231
8002,content/server2,latency,319,11,0,308
8002,content/server2,latency,163,9,0,154
8002,content/server2,latency,319,11,0,308
8002,content/server2,latency,241,10,0,231
8002,content/server2,latency,475,13,0,462
8002,content/server2,latency,397,12,0,385
