port,content_dir,strategy,total_req,manifest_req,segment_req,other_req
8001,content/server1,latency,397,12,0,385
8001,content/server1,latency,163,9,0,154
8001,content/server1,latency,7,7,0,0
8001,content/server1,latency,241,10,0,231
8001,content/server1,latency,319,11,0,308
8001,content/server1,latency,163,9,0,154
8001,content/server1,latency,85,8,0,77
8001,content/server1,latency,397,12,0,385
8001,content/server1,latency,319,11,0,308
8001,content/server1,latency,241,10,0,231
8001,content/server1,latency,397,12,0,385
8001,content/server1,latency,241,10,0,231
8001,content/server1,latency,319,11,0,308
8001,content/server1,latency,85,8,0,77
8001,content/server1,latency,163,9,0,154
