port,content_dir,strategy,total_req,manifest_req,segment_req,other_req
8001,content/server1,latency,165,11,0,154
8001,content/server1,latency,555,16,0,539
8001,content/server1,latency,633,17,0,616
8001,content/server1,latency,321,13,0,308
8001,content/server1,latency,243,12,0,231
8001,content/server1,latency,477,15,0,462
8001,content/server1,latency,321,13,0,308
8001,content/server1,latency,555,16,0,539
8001,content/server1,latency,87,10,0,77
8001,content/server1,latency,165,11,0,154
8001,content/server1,latency,321,13,0,308
8001,content/server1,latency,399,14,0,385
8001,content/server1,latency,321,13,0,308
8001,content/server1,latency,399,14,0,385
8001,content/server1,latency,555,16,0,539
