strategy,chosen_server,lat_8001,lat_8002,load_8001,load_8002
latency,http://localhost:8002,0.00826466599755804,0.006035207999957493,0,4
latency,http://localhost:8001,0.004154666999966139,0.007003582999459468,1,1
latency,http://localhost:8002,0.009029458997247275,0.006826166998507688,1,1
latency,http://localhost:8002,0.012266792000446003,0.008598499996878672,1,1
latency,http://localhost:8002,0.012597958000696963,0.008916208997106878,2,1
latency,http://localhost:8002,0.012600415997439995,0.008671707997564226,0,0
latency,http://localhost:8001,0.0044828329992014915,0.007676749999518506,0,0
latency,http://localhost:8001,0.0016732920012145769,0.007465833001333522,0,0
latency,http://localhost:8001,0.0020822920014325064,0.00785600000017439,0,1
latency,http://localhost:8001,0.0010662500026228372,0.0016153750002558809,1,5
