strategy,chosen_server,lat_8001,lat_8002,load_8001,load_8002
latency-load,http://localhost:8002,0.009496541999396868,0.004750667001644615,0,0
latency-load,http://localhost:8001,0.0018984999987878837,0.002570666001702193,1,2
latency-load,http://localhost:8001,0.0019023750028281938,0.003044833996682428,1,1
latency-load,http://localhost:8001,0.0021276670013321564,0.0018903329983004369,0,1
latency-load,http://localhost:8001,0.0017507920019852463,0.002414375001535518,0,1
latency-load,http://localhost:8001,0.0015210839992505498,0.0017040829989127815,0,1
latency-load,http://localhost:8001,0.0011825829969893675,0.001255917002708884,1,1
latency-load,http://localhost:8002,0.0017268340016016737,0.0015122090007935185,1,1
latency-load,http://localhost:8002,0.0015749999984109309,0.004772207998030353,5,1
latency-load,http://localhost:8002,0.004428582997206831,0.0009357499984616879,3,2
