strategy,chosen_server,lat_8001,lat_8002,load_8001,load_8002
latency-load,http://localhost:8002,0.007757333019981161,0.0025857090076897293,0,0
latency-load,http://localhost:8001,0.0009553749987389892,0.0007476249884348363,0,1
latency-load,http://localhost:8001,0.0009091660031117499,0.0011032919865101576,1,1
latency-load,http://localhost:8001,0.001418542000465095,0.001787792018149048,0,1
latency-load,http://localhost:8002,0.002950750000309199,0.0018131669785361737,1,0
latency-load,http://localhost:8001,0.0015812499914318323,0.002238249988295138,2,2
latency-load,http://localhost:8002,0.0015277500206138939,0.0008540830167476088,3,2
