port,content_dir,strategy,total_req,manifest_req,segment_req,other_req
8001,content/server1,latency-load,321,13,0,308
8001,content/server1,latency-load,243,12,0,231
8001,content/server1,latency-load,243,12,0,231
8001,content/server1,latency-load,321,13,0,308
8001,content/server1,latency-load,87,10,0,77
8001,content/server1,latency-load,243,12,0,231
8001,content/server1,latency-load,321,13,0,308
8001,content/server1,latency-load,321,13,0,308
8001,content/server1,latency-load,321,13,0,308
8001,content/server1,latency-load,321,13,0,308
8001,content/server1,latency-load,633,17,0,616
8001,content/server1,latency-load,477,15,0,462
8001,content/server1,latency-load,321,13,0,308
8001,content/server1,latency-load,477,15,0,462
8001,content/server1,latency-load,321,13,0,308
