port,content_dir,strategy,total_req,manifest_req,segment_req,other_req
8002,content/server2,latency-load,317,9,0,308
8002,content/server2,latency-load,395,10,0,385
8002,content/server2,latency-load,239,8,0,231
8002,content/server2,latency-load,317,9,0,308
8002,content/server2,latency-load,239,8,0,231
8002,content/server2,latency-load,239,8,0,231
8002,content/server2,latency-load,317,9,0,308
8002,content/server2,latency-load,317,9,0,308
8002,content/server2,latency-load,239,8,0,231
8002,content/server2,latency-load,317,9,0,308
8002,content/server2,latency-load,317,9,0,308
8002,content/server2,latency-load,317,9,0,308
8002,content/server2,latency-load,395,10,0,385
8002,content/server2,latency-load,239,8,0,231
8002,content/server2,latency-load,239,8,0,231
