port,content_dir,strategy,total_req,manifest_req,segment_req,other_req
8001,content/server1,latency-load,83,6,0,77
8001,content/server1,latency-load,5,5,0,0
8001,content/server1,latency-load,161,7,0,154
8001,content/server1,latency-load,83,6,0,77
8001,content/server1,latency-load,161,7,0,154
8001,content/server1,latency-load,161,7,0,154
8001,content/server1,latency-load,83,6,0,77
8001,content/server1,latency-load,83,6,0,77
8001,content/server1,latency-load,161,7,0,154
8001,content/server1,latency-load,83,6,0,77
8001,content/server1,latency-load,83,6,0,77
8001,content/server1,latency-load,83,6,0,77
8001,content/server1,latency-load,5,5,0,0
8001,content/server1,latency-load,161,7,0,154
8001,content/server1,latency-load,161,7,0,154
