strategy,chosen_server,lat_8001,lat_8002,load_8001,load_8002
latency-load,http://localhost:8001,0.0016869579994818196,0.0038620000013906974,0,0
latency-load,http://localhost:8002,0.007802457999787293,0.004799583999556489,1,0
latency-load,http://localhost:8002,0.0015866250032559037,0.0014920419998816215,0,0
latency-load,http://localhost:8001,0.0012243330020282883,0.0013590420021500904,0,1
latency-load,http://localhost:8002,0.001164416997198714,0.0017270829994231462,1,0
latency-load,http://localhost:8001,0.0016392079996876419,0.0015877499972702935,0,1
latency-load,http://localhost:8002,0.001890291998279281,0.0016725419991416857,1,1
latency-load,http://localhost:8001,0.0016982079978333786,0.0010675830017135013,2,3
latency-load,http://localhost:8001,0.0014834590001555625,0.0025192080029228237,3,4
latency-load,http://localhost:8002,0.002363332998356782,0.0012515420021372847,5,3
