strategy,chosen_server,lat_8001,lat_8002,load_8001,load_8002
latency,http://localhost:8002,0.008195042028091848,0.0030085000034887344,0,0
latency,http://localhost:8002,0.0008877500076778233,0.0007190420001279563,0,1
latency,http://localhost:8002,0.00078691600356251,0.0006919169973116368,0,2
latency,http://localhost:8001,0.0019958750053774565,0.0021347079891711473,0,2
latency,http://localhost:8002,0.0026179169944953173,0.0017293750133831054,0,1
latency,http://localhost:8001,0.002012875018408522,0.0021232920116744936,1,4
latency,http://localhost:8001,0.000886041991179809,0.0015366250008810312,2,4
latency,http://localhost:8001,0.0014645000046584755,0.002348833018913865,3,4
