strategy,chosen_server,lat_8001,lat_8002,load_8001,load_8002
latency,http://localhost:8002,0.0074843330003204755,0.0016248329993686639,1,5
latency,http://localhost:8002,0.012024667001242051,0.0015957920004439075,0,3
latency,http://localhost:8002,0.004516334000072675,0.0035354579995328095,4,1
latency,http://localhost:8002,0.007614499998453539,0.0024289579996548127,0,1
latency,http://localhost:8002,0.008813917000225047,0.0030583750012738165,0,1
latency,http://localhost:8002,0.0053169589991739485,0.0030543749999196734,0,1
latency,http://localhost:8002,0.013639207998494385,0.0025025840004673228,0,0
latency,http://localhost:8001,0.002369000001635868,0.002892832999350503,0,1
latency,http://localhost:8002,0.01447037500111037,0.0033643339993432164,0,1
latency,http://localhost:8001,0.000862000000779517,0.0028592500020749867,0,1
