strategy,chosen_server,lat_8001,lat_8002,load_8001,load_8002
latency,http://localhost:8002,0.007618416002515005,0.0028037499978381675,0,3
latency,http://localhost:8002,0.0103317920002155,0.002142291999916779,0,3
latency,http://localhost:8002,0.010043874997791136,0.002674666997336317,0,0
latency,http://localhost:8002,0.011049125001591165,0.0038045410001359414,0,0
latency,http://localhost:8002,0.012804957998014288,0.0024547909997636452,0,0
latency,http://localhost:8001,0.0008811249972495716,0.0029690830015169922,0,0
latency,http://localhost:8002,0.009609290998923825,0.003478541999356821,0,0
latency,http://localhost:8001,0.0006709590015816502,0.001830000001064036,0,5
latency,http://localhost:8002,0.003194207998603815,0.0019367919994692784,3,6
latency,http://localhost:8002,0.03474308399745496,0.0021869580014026724,2,6
