strategy,chosen_server,lat_8001,lat_8002,load_8001,load_8002
latency-load,http://localhost:8002,0.007196541999292094,0.0024250839996966533,2,3
latency-load,http://localhost:8002,0.0022560830002475996,0.0021272919984767213,0,0
latency-load,http://localhost:8002,0.0038121670004329644,0.002020915999310091,1,0
latency-load,http://localhost:8001,0.0013752920021943282,0.0022537910008395556,0,0
latency-load,http://localhost:8002,0.0024163340021914337,0.0031633750004402827,1,0
latency-load,http://localhost:8002,0.0033547919992997777,0.0031362499976239633,0,0
