strategy,chosen_server,lat_8001,lat_8002,load_8001,load_8002
latency,http://localhost:8001,0.001657542001339607,0.005018084000766976,0,2
latency,http://localhost:8001,0.001426167000317946,0.004696333002357278,0,0
latency,http://localhost:8001,0.0011763750007958151,0.002876250000554137,0,0
latency,http://localhost:8002,0.008534041000530124,0.007937165999464924,0,0
latency,http://localhost:8002,0.002035708002949832,0.0012579590002133045,1,3
latency,http://localhost:8002,0.002002916000492405,0.0011505000002216548,0,1
latency,http://localhost:8001,0.0014157089972286485,0.0014238749972719233,0,1
latency,http://localhost:8001,0.0015690840009483509,0.002137291001417907,0,0
latency,http://localhost:8001,0.0017668330001470167,0.0022924170007172506,0,0
latency,http://localhost:8002,0.001923458999954164,0.001086249998479616,0,1
