strategy,chosen_server,lat_8001,lat_8002,load_8001,load_8002
latency-load,http://localhost:8002,0.013376499999139924,0.002368208002735628,3,4
latency-load,http://localhost:8002,0.012992625001061242,0.001483708001615014,1,1
latency-load,http://localhost:8002,0.008648082999570761,0.0018774579984892625,0,1
latency-load,http://localhost:8002,0.006197499998961575,0.0017050829992513172,0,1
latency-load,http://localhost:8002,0.006791833002353087,0.0017075830000976566,0,0
latency-load,http://localhost:8002,0.002548833999753697,0.0022956249995331746,0,0
latency-load,http://localhost:8002,0.006476417001977097,0.002661917002114933,0,0
latency-load,http://localhost:8002,0.010079625000798842,0.0030373330009751953,0,0
latency-load,http://localhost:8001,0.002273334001074545,0.002967042000818765,0,0
latency-load,http://localhost:8002,0.01320516600026167,0.003511957998853177,0,0
