port,content_dir,strategy,total_req,manifest_req,segment_req,other_req
8002,content/server2,latency-load,556,17,0,539
8002,content/server2,latency-load,634,18,0,616
8002,content/server2,latency-load,322,14,0,308
8002,content/server2,latency-load,400,15,0,385
8002,content/server2,latency-load,322,14,0,308
8002,content/server2,latency-load,88,11,0,77
8002,content/server2,latency-load,478,16,0,462
8002,content/server2,latency-load,556,17,0,539
8002,content/server2,latency-load,400,15,0,385
8002,content/server2,latency-load,322,14,0,308
8002,content/server2,latency-load,400,15,0,385
8002,content/server2,latency-load,712,19,0,693
8002,content/server2,latency-load,400,15,0,385
8002,content/server2,latency-load,322,14,0,308
8002,content/server2,latency-load,322,14,0,308
