strategy,chosen_server,lat_8001,lat_8002,load_8001,load_8002
latency,http://localhost:8002,0.006150999979581684,0.0021610000112559646,0,0
latency,http://localhost:8001,0.0008224999764934182,0.0011357920011505485,0,1
latency,http://localhost:8002,0.0019622499821707606,0.0015619580226484686,1,1
latency,http://localhost:8002,0.0026337910094298422,0.001336000015726313,1,1
latency,http://localhost:8002,0.0019585829868447036,0.0011787919793277979,0,2
latency,http://localhost:8002,0.0015826250019017607,0.0011741249763872474,1,3
latency,http://localhost:8001,0.0008523330034222454,0.0012287090066820383,1,5
