port,content_dir,strategy,total_req,manifest_req,segment_req,other_req
8001,content/server1,latency-load,8,8,0,0
8001,content/server1,latency-load,86,9,0,77
8001,content/server1,latency-load,242,11,0,231
8001,content/server1,latency-load,164,10,0,154
8001,content/server1,latency-load,398,13,0,385
8001,content/server1,latency-load,554,15,0,539
8001,content/server1,latency-load,476,14,0,462
8001,content/server1,latency-load,398,13,0,385
8001,content/server1,latency-load,320,12,0,308
8001,content/server1,latency-load,242,11,0,231
8001,content/server1,latency-load,320,12,0,308
8001,content/server1,latency-load,86,9,0,77
8001,content/server1,latency-load,398,13,0,385
8001,content/server1,latency-load,554,15,0,539
8001,content/server1,latency-load,476,14,0,462
