strategy,chosen_server,lat_8001,lat_8002,load_8001,load_8002
latency-load,http://localhost:8002,0.010434584000904579,0.0036235829975339584,0,4
latency-load,http://localhost:8002,0.006930750001629349,0.0035708329996850807,0,2
latency-load,http://localhost:8002,0.006544583000504645,0.0038967079999565613,0,1
latency-load,http://localhost:8001,0.0016003749988158233,0.0044173749993206,0,0
latency-load,http://localhost:8002,0.00555095799791161,0.004131708999921102,0,0
latency-load,http://localhost:8002,0.009582292001141468,0.004936291999911191,0,0
