strategy,chosen_server,lat_8001,lat_8002,load_8001,load_8002
latency-load,http://localhost:8002,0.0038899159990251064,0.0031451670001843013,1,1
latency-load,http://localhost:8002,0.007925791000161553,0.004149625001446111,2,1
latency-load,http://localhost:8002,0.008449375000054715,0.004746459002490155,1,1
latency-load,http://localhost:8002,0.0065886669981409796,0.005598458999884315,1,1
latency-load,http://localhost:8001,0.004302749999624211,0.004840667003009003,0,0
latency-load,http://localhost:8001,0.004348124999523861,0.005271999998512911,0,0
latency-load,http://localhost:8001,0.004875958999036811,0.005648458998621209,0,1
latency-load,http://localhost:8001,0.0018114580016117543,0.005071167001005961,0,0
latency-load,http://localhost:8002,0.004639457998564467,0.003627709000284085,4,3
latency-load,http://localhost:8001,0.00234354100030032,0.03366812499734806,0,4
