port,content_dir,strategy,total_req,manifest_req,segment_req,other_req
8002,content/server2,latency,555,16,0,539
8002,content/server2,latency,165,11,0,154
8002,content/server2,latency,87,10,0,77
8002,content/server2,latency,399,14,0,385
8002,content/server2,latency,477,15,0,462
8002,content/server2,latency,243,12,0,231
8002,content/server2,latency,399,14,0,385
8002,content/server2,latency,165,11,0,154
8002,content/server2,latency,633,17,0,616
8002,content/server2,latency,555,16,0,539
8002,content/server2,latency,399,14,0,385
8002,content/server2,latency,321,13,0,308
8002,content/server2,latency,399,14,0,385
8002,content/server2,latency,321,13,0,308
8002,content/server2,latency,165,11,0,154
